"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JBRULRMG","blogPost","2019","Riederer, Emily","RMarkdown Driven Development (RmdDD)","Emily Riederer","","","","https://emilyriederer.netlify.com/post/rmarkdown-driven-development/","Introduction RMarkdown is an excellent platform for capturing narrative analysis and code to create reproducible reports, blogs, slides, books, and more. One benefit of RMarkdown is its abilities to keep an analyst in the “flow” of their work and to capture their thought process along the way. However, thought processes are rarely linear; as a result, first-draft RMarkdown scripts rarely are either. This is fine for some individual analysis and preliminary exploration but can significantly decrease how understandable and resilient an RMarkdown will be in the future.","2019-05-04","2020-01-30 15:52:00","2020-01-30 15:56:37","2020-01-30 15:52:00","","","","","","","","","","","","","","en","","","","","","","","","/home/cantabile/Zotero/storage/8FM2DNWV/rmarkdown-driven-development.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"98YHKRFW","book","2020","Grolemund, Yihui Xie, J. J. Allaire, Garrett","R Markdown: The Definitive Guide","","","","","https://bookdown.org/yihui/rmarkdown/","The first official book authored by the core R Markdown developers that provides a comprehensive and accurate reference to the R Markdown ecosystem. With R Markdown, you can easily create reproducible data analysis reports, presentations, dashboards, interactive applications, books, dissertations, websites, and journal articles, while enjoying the simplicity of Markdown and the great power of R and other languages.","2020","2021-02-07 16:45:59","2021-02-07 16:58:25","2021-02-07 16:45:59","","","","","","","R Markdown","","","","","","","","","","","","bookdown.org","","","","/home/cantabile/Zotero/storage/ZPIJWN7W/rmarkdown.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
