"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"LYJW2525","book","2019","Bryan, Jennifer","Happy Git with R","","","","","https://happygitwithr.com/resources.html","","2019","2019-07-21 06:56:50","2019-07-21 06:58:12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R7ILPY6Y","journalArticle","2018","Bryan, Jennifer","Excuse Me, Do You Have a Moment to Talk About Version Control?","The American Statistician","","0003-1305","10.1080/00031305.2017.1399928","https://doi.org/10.1080/00031305.2017.1399928","Data analysis, statistical research, and teaching statistics have at least one thing in common: these activities all produce many files! There are data files, source code, figures, tables, prepared reports, and much more. Most of these files evolve over the course of a project and often need to be shared with others, for reading or edits, as a project unfolds. Without explicit and structured management, project organization can easily descend into chaos, taking time away from the primary work and reducing the quality of the final product. This unhappy result can be avoided by repurposing tools and workflows from the software development world, namely, distributed version control. This article describes the use of the version control system Git and the hosting site GitHub for statistical and data scientific workflows. Special attention is given to projects that use the statistical language R and, optionally, R Markdown documents. Supplementary materials include an annotated set of links to step-by-step tutorials, real world examples, and other useful learning resources. Supplementary materials for this article are available online.","2018-01-02","2020-05-17 03:47:42","2020-05-17 03:47:42","2020-05-17 03:47:42","20-27","","1","72","","","","","","","","","","","","","","","Taylor and Francis+NEJM","","Publisher: Taylor & Francis _eprint: https://doi.org/10.1080/00031305.2017.1399928","","/home/cantabile/Zotero/storage/GKHXIKWN/00031305.2017.html","","","Data science; Git; GitHub; R language, R Markdown; Reproducibility; Workflow","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LLRH6W3Q","book","2021","various","Git - Reference","","","","","https://git-scm.com/docs","","2021","2021-02-07 17:50:25","2021-02-07 17:51:19","2021-02-07 17:50:25","","","","","","","","","","","","","","","","","","","","","","","/home/cantabile/Zotero/storage/7FAZ638R/docs.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DJLSX6RF","book","2021","various","GitHub CLI Manual","","","","","https://cli.github.com/manual/index","Take GitHub to the command line","2021","2021-02-07 17:51:45","2021-02-07 17:52:18","2021-02-07 17:51:45","","","","","","","","","","","","","","en-gb","","","","","","","","","/home/cantabile/Zotero/storage/HCQGJQGQ/index.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
